Month,CNG ONLY,DIESEL,DIESEL/HYBRID,DUAL DIESEL/CNG,ELECTRIC(BOV),ETHANOL,LPG ONLY,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL/ETHANOL,PETROL/HYBRID,PETROL/LPG,SOLAR,FUEL CELL HYDROGEN,LNG,METHANOL,DUAL DIESEL/LNG
Jan-14,2103,270915,3,0,232,0,188,10278,1347016,20623,0,0,6307,9,0,0,0,0
Feb-14,1607,219601,3,1,171,1,116,8884,1176669,15266,0,1,4803,17,0,0,0,0
Mar-14,2026,258723,3,1,220,1,106,11115,1329273,18800,0,0,5609,16,0,0,0,0
Apr-14,1718,222632,3,1,252,0,121,8522,1296500,19714,1,0,5600,19,0,0,0,0
May-14,1727,237336,6,0,186,2,103,9656,1408836,20626,0,1,6317,14,0,0,0,0
Jun-14,1631,237271,2,0,148,0,105,10100,1346545,21392,0,2,7217,14,0,0,0,0
Jul-14,1958,251127,2,0,199,1,192,10687,1332153,22858,0,0,8191,21,0,0,0,0
Aug-14,2098,220031,2,0,180,0,149,13907,1200718,19690,0,0,7824,5,0,0,0,0
Sep-14,2390,229065,1,0,167,0,167,8440,1272822,21557,1,0,8344,7,0,0,0,0
Oct-14,2396,218954,2,0,188,1,156,7202,1457042,25373,0,1,7689,14,0,0,0,0
Nov-14,2272,252963,6,1,210,1,141,9813,1602815,21464,0,0,7220,17,0,0,0,0
Dec-14,1465,230258,3,0,236,0,154,9131,1218361,19022,0,0,5948,11,0,0,0,0
Jan-15,2612,260651,1,0,173,0,156,8705,1321517,23933,0,1,6735,8,0,0,0,0
Feb-15,1925,226827,2,0,182,0,228,9831,1279794,18361,0,1,5840,15,0,0,0,0
Mar-15,2037,241991,4,0,222,0,382,10665,1351525,20219,0,0,5519,8,0,0,0,0
Apr-15,2052,214348,5,0,175,0,247,8716,1319110,19416,0,1,4845,32,0,0,0,0
May-15,1769,211783,2,0,195,0,310,9048,1406050,18949,0,3,5350,29,0,0,0,0
